,date,spot,option_price
262,2025-04-11 22:04:56.671,83849.48096887217,34572.04789533626
263,2025-04-11 23:02:50.679,83687.0262905728,34417.859757951745
264,2025-04-12 00:02:04.630,83403.67277102497,34149.14961937588
265,2025-04-12 01:04:54.651,83437.92254404748,34181.61407533972
266,2025-04-12 02:04:53.658,83339.31246065375,34088.15567118175
267,2025-04-12 03:02:29.713,83170.65968986193,33928.39585580796
268,2025-04-12 04:09:03.694,82861.85819962031,33636.14911027503
269,2025-04-12 05:04:58.092,82961.51750754256,33730.42696263161
270,2025-04-12 06:04:49.346,83199.96650893788,33956.14987201256
271,2025-04-12 07:03:58.541,83303.79275397805,34054.50026360868
272,2025-04-12 08:04:51.887,83549.9107448874,34287.79424919547
273,2025-04-12 09:04:44.290,83704.62816108475,34434.56144514787
274,2025-04-12 10:09:09.084,83666.1312703991,34398.03476538198
275,2025-04-12 11:04:51.899,83500.54104423865,34240.97944258206
276,2025-04-12 12:09:34.402,83447.195072062,34190.40398888538
277,2025-04-12 13:08:15.164,83502.21970476018,34242.571088256795
278,2025-04-12 14:02:26.489,83737.13579117409,34465.40947890919
279,2025-04-12 15:08:09.344,84428.14749494086,35122.015015132776
280,2025-04-12 16:04:04.998,84884.66465071926,35556.69130840186
281,2025-04-12 17:01:23.512,85008.74302161673,35674.952349187064
282,2025-04-12 18:08:42.553,84687.53545478488,35368.90825435015
283,2025-04-12 19:04:51.875,84749.20272127507,35427.638014577904
284,2025-04-12 20:04:58.709,85106.24814466636,35767.92112113951
285,2025-04-12 21:05:42.931,84904.11727218305,35575.228584439494
286,2025-04-12 22:04:59.076,85528.04428969568,36170.44435968989
287,2025-04-12 23:04:56.253,85384.6852677325,36033.57237137824
288,2025-04-13 00:01:23.055,85369.94860925588,36019.506228686805
289,2025-04-13 01:04:57.196,85296.72976736756,35949.62905341382
290,2025-04-13 02:04:38.189,85464.59019442675,36109.85359155329
291,2025-04-13 03:04:44.176,85337.18790410843,35988.23859794009
292,2025-04-13 04:03:29.974,85232.85128493622,35888.6798946132
293,2025-04-13 05:04:44.025,85422.0967425296,36069.284716936745
294,2025-04-13 06:04:44.265,84667.07071059634,35349.421130675124
295,2025-04-13 07:04:29.714,84515.92251627243,35205.53666850479
296,2025-04-13 08:04:52.815,84710.09360463546,35390.390390378794
297,2025-04-13 09:04:57.053,84457.0360990321,35149.50088073794
298,2025-04-13 10:04:49.008,84585.13863461434,35271.41699153004
299,2025-04-13 11:04:51.436,84881.3367521123,35553.52012857667
300,2025-04-13 12:04:58.068,84668.81761593616,35351.08453034935
301,2025-04-13 13:04:52.052,84446.94289624105,35139.89745161717
302,2025-04-13 14:06:45.645,84436.51740072019,35129.978215155366
303,2025-04-13 15:04:53.012,83648.98919141645,34381.77168615165
304,2025-04-13 16:04:37.889,84031.22500638437,34744.653655970294
305,2025-04-13 17:08:50.699,83980.12231485195,34696.10881819533
306,2025-04-13 18:04:42.972,84210.62712650532,34915.147655507186
307,2025-04-13 19:04:50.275,84771.87106577087,35449.229720151445
308,2025-04-13 20:04:52.667,84731.50450347898,35410.781558903815
309,2025-04-13 21:08:15.724,84017.0882151789,34731.223548674076
310,2025-04-13 22:04:38.302,83438.00410089483,34181.69138598154
311,2025-04-13 23:04:40.265,83574.27265943393,34310.898648991395
312,2025-04-14 00:04:57.456,83330.90244768845,34080.18665421555
313,2025-04-14 01:04:41.854,83637.28172222206,34370.66514561709
314,2025-04-14 02:05:22.825,84420.85655994239,35115.078549997816
315,2025-04-14 03:04:49.454,84188.62885806532,34894.235738269206
316,2025-04-14 04:04:38.071,85142.12257679901,35802.13425360941
317,2025-04-14 05:04:32.362,84520.33459198069,35209.73562976244
318,2025-04-14 06:04:31.796,84908.86594967128,35579.75400037438
319,2025-04-14 07:09:31.682,84464.7604669509,35156.85065495002
320,2025-04-14 08:04:41.459,84551.38712005342,35239.29008934629
321,2025-04-14 09:04:30.453,84555.6272692444,35243.325931643114
322,2025-04-14 10:04:32.487,84723.07963389653,35402.75775683919
323,2025-04-14 11:04:27.572,84428.69559111315,35122.53647128452
324,2025-04-14 12:06:33.757,84626.70459097729,35310.987422285754
